Genotype,AS,LM,AQ,PPQ,MQ,CQ,AL,ASAQ,DHAPPQ,ASMQ
TYYYYY1,0.241,0.719,0.633,0.899,0.461,0.195,0.795,0.735,0.929,0.607
TYYYYY2,0.241,0.719,0.633,0.213,0.461,0.195,0.795,0.735,0.415,0.607
TNFNFC1,0.689,0.474,0.847,0.899,0.461,0.337,0.844,0.959,0.972,0.846
TNFNFC2,0.689,0.474,0.847,0.213,0.461,0.337,0.844,0.959,0.768,0.846
TNFNFY1,0.241,0.474,0.847,0.899,0.461,0.337,0.604,0.893,0.929,0.607
TNFNFY2,0.241,0.474,0.847,0.213,0.461,0.337,0.604,0.893,0.415,0.607
TYFYFC1,0.689,0.575,0.714,0.899,0.461,0.195,0.869,0.917,0.972,0.846
TYFYFC2,0.689,0.575,0.714,0.213,0.461,0.195,0.869,0.917,0.768,0.846
TYFYFY1,0.241,0.575,0.714,0.899,0.461,0.195,0.684,0.794,0.929,0.607
TYFYFY2,0.241,0.575,0.714,0.213,0.461,0.195,0.684,0.794,0.415,0.607
